case_id,jurisdiction,pdf,field_name,current_value,suggested_value,reason,confidence,edit_file,notes
cn_0003,cn,pdfs/case_0003_cn.pdf,drug_info,"{""drug_name"": """", ""active_ingredient"": """", ""product_name"": """", ""applicant"": """", ""application_number"": """", ""source"": ""unknown"", ""confidence"": 0, ""review_required"": true}",,药物信息缺失或置信度低,0,data/manual_overrides/cn_overrides.json,
cn_0004,cn,pdfs/case_0004_cn.pdf,parties,"[{""role"": ""专利权人"", ""name"": ""某株式会社""}]",,中国专利权人或无效请求人缺失,0.6,data/manual_overrides/cn_overrides.json,
cn_0004,cn,pdfs/case_0004_cn.pdf,drug_info,"{""drug_name"": """", ""active_ingredient"": """", ""product_name"": """", ""applicant"": """", ""application_number"": """", ""source"": ""unknown"", ""confidence"": 0, ""review_required"": true}",,药物信息缺失或置信度低,0,data/manual_overrides/cn_overrides.json,
cn_0006,cn,pdfs/case_0006_cn.pdf,drug_info,"{""drug_name"": """", ""active_ingredient"": """", ""product_name"": """", ""applicant"": """", ""application_number"": """", ""source"": ""unknown"", ""confidence"": 0, ""review_required"": true}",,药物信息缺失或置信度低,0,data/manual_overrides/cn_overrides.json,
cn_0009,cn,pdfs/case_0009_cn.pdf,legal_points,"[""pending_review""]",,中国法律点为空或待确认,0.2,data/manual_overrides/cn_overrides.json,
cn_0009,cn,pdfs/case_0009_cn.pdf,status,待确认,,无效结果为空或待确认,0,data/manual_overrides/cn_overrides.json,
cn_0009,cn,pdfs/case_0009_cn.pdf,drug_info,"{""drug_name"": """", ""active_ingredient"": """", ""product_name"": """", ""applicant"": """", ""application_number"": """", ""source"": ""unknown"", ""confidence"": 0, ""review_required"": true}",,药物信息缺失或置信度低,0,data/manual_overrides/cn_overrides.json,
cn_0010,cn,pdfs/case_0010_cn.pdf,legal_points,"[""pending_review""]",,中国法律点为空或待确认,0.2,data/manual_overrides/cn_overrides.json,
cn_0010,cn,pdfs/case_0010_cn.pdf,status,待确认,,无效结果为空或待确认,0,data/manual_overrides/cn_overrides.json,
cn_0010,cn,pdfs/case_0010_cn.pdf,drug_info,"{""drug_name"": """", ""active_ingredient"": """", ""product_name"": """", ""applicant"": """", ""application_number"": """", ""source"": ""unknown"", ""confidence"": 0, ""review_required"": true}",,药物信息缺失或置信度低,0,data/manual_overrides/cn_overrides.json,
